Country,Ground,Matches,Won,Runs,Wkts
India,"Eden Gardens, Kolkata - India",4,4,2161,72
India,"Feroz Shah Kotla, Delhi - India",4,4,1789,75
Australia,Melbourne Cricket Ground - Australia,15,15,7656,217
India,"Saurashtra Cricket Association Stadium, Rajkot - India",2,2,1163,26
Australia,Adelaide Oval - Australia,10,10,4863,157
India,"Nehru Stadium, Kochi - India",3,3,1384,46
Australia,"Brisbane Cricket Ground, Woolloongabba, Brisbane - Australia",8,8,3671,123
India,"JSCA International Stadium Complex, Ranchi - India",5,4,2303,68
South Africa,"Boland Park, Paarl - South Africa",3,3,1478,51
Australia,Sydney Cricket Ground - Australia,16,14,7535,209
South Africa,"Diamond Oval, Kimberley - South Africa",3,3,1327,40
Australia,"Bellerive Oval, Hobart - Australia",6,6,3167,94
India,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh - India",5,5,3056,67
South Africa,"Senwes Park, Potchefstroom - South Africa",2,2,935,30
India,"Himachal Pradesh Cricket Association Stadium, Dharamsala - India",4,4,1664,56
Australia,"W.A.C.A. Ground, Perth - Australia",12,12,5197,177
Australia,"Manuka Oval, Canberra - Australia",7,7,4226,110
New Zealand,"Seddon Park, Hamilton - New Zealand",16,15,7748,215
New Zealand,"McLean Park, Napier - New Zealand",8,8,3770,110
West Indies,"National Cricket Stadium, St George's, Grenada - West Indies",7,6,3051,87
New Zealand,"Eden Park, Auckland - New Zealand",12,10,5214,187
U.A.E.,Sharjah Cricket Stadium - U.A.E.,31,31,12905,470
South Africa,"Mangaung Oval, Bloemfontein - South Africa",3,3,1430,48
U.A.E.,"ICC Academy, Dubai - U.A.E.",23,22,10524,326
South Africa,"SuperSport Park, Centurion - South Africa",12,11,5669,159
South Africa,"The Wanderers Stadium, Johannesburg - South Africa",9,9,4683,122
South Africa,"Kingsmead, Durban - South Africa",9,9,4480,132
Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota - Sri Lanka",12,10,5460,138
South Africa,"Willowmoore Park, Benoni - South Africa",3,3,1312,40
Sri Lanka,Pallekele International Cricket Stadium - Sri Lanka,15,15,6879,224
Zimbabwe,"Queens Sports Club, Bulawayo - Zimbabwe",31,28,13034,441
Scotland,"Grange Cricket Club, Raeburn Place, Edinburgh - Scotland",12,10,5523,160
Ireland,"Castle Avenue, Dublin - Ireland",8,7,4092,109
Netherlands,"VRA Ground, Amstelveen - Netherlands",5,4,2273,86
